Time,LastPrice,Volume,Bid1Price,Bid1Volume,Ask1Price,Ask1Volume,FutureAvgPrice,Traded
2023-05-08 13:50:43,6148.0,5655,6148.6,1,6149.8,1,6148.0,0
2023-05-08 13:50:44,6148.0,5655,6148.6,1,6150.8,1,6148.0,0
2023-05-08 13:50:45,6148.0,5655,6148.8,1,6150.4,1,6148.0,0
2023-05-08 13:50:45,6148.0,5655,6148.6,1,6150.4,1,6148.0,0
2023-05-08 13:50:46,6148.0,5655,6148.8,1,6150.0,3,6148.0,0
2023-05-08 13:50:46,6148.0,5655,6148.8,1,6149.6,1,6148.0,0
2023-05-08 13:50:47,6148.0,5655,6147.8,1,6149.4,1,6148.0,0
2023-05-08 13:50:47,6148.0,5655,6148.0,1,6149.4,1,6148.0,0
2023-05-08 13:50:49,6148.0,5655,6148.0,2,6149.4,1,6148.0,0
2023-05-08 13:50:49,6148.0,5655,6148.0,2,6149.4,1,6148.0,0
2023-05-08 13:50:51,6148.0,5655,6148.0,1,6149.2,2,6148.0,0
2023-05-08 13:50:52,6148.0,5655,6148.0,1,6149.2,1,6148.0,0
2023-05-08 13:50:52,6148.0,5655,6148.2,3,6149.4,1,6147.92,0
2023-05-08 13:50:53,6148.0,5655,6148.2,1,6149.2,1,6147.839999999999,0
2023-05-08 13:50:55,6148.0,5655,6148.0,1,6149.2,1,6147.76,0
2023-05-08 13:50:57,6148.0,5655,6148.0,1,6148.8,2,6147.679999999999,0
2023-05-08 13:50:58,6148.0,5655,6148.0,1,6148.8,1,6147.6,0
2023-05-08 13:50:58,6148.0,5655,6148.0,1,6148.8,1,6147.52,0
2023-05-08 13:50:59,6148.0,5655,6148.0,1,6148.6,1,6147.44,0
2023-05-08 13:50:59,6148.0,5656,6147.0,1,6148.6,1,6147.36,0
2023-05-08 13:51:00,6148.0,5656,6147.2,1,6148.6,1,6147.28,0
2023-05-08 13:51:00,6148.0,5656,6147.2,1,6148.6,1,6147.199999999999,0
2023-05-08 13:51:01,6147.2,5657,6147.0,2,6148.6,1,6147.2,0
2023-05-08 13:51:02,6147.2,5657,6147.0,2,6148.2,3,6147.2,0
2023-05-08 13:51:04,6147.2,5657,6147.0,2,6148.2,2,6147.2,0
2023-05-08 13:51:04,6147.2,5657,6147.4,2,6148.2,1,6147.2,0
2023-05-08 13:51:06,6147.2,5657,6147.4,2,6149.8,1,6147.2,0
2023-05-08 13:51:06,6147.2,5657,6147.6,1,6149.2,2,6147.26,1
2023-05-08 13:51:07,6147.2,5657,6147.4,2,6149.2,2,6147.32,1
2023-05-08 13:51:07,6147.2,5657,6147.8,1,6149.2,2,6147.379999999999,1
2023-05-08 13:51:08,6147.2,5657,6147.8,1,6149.2,1,6147.4400000000005,1
2023-05-08 13:51:09,6147.2,5657,6148.0,3,6149.2,1,6147.5,1
2023-05-08 13:51:10,6147.2,5657,6148.0,4,6149.2,1,6147.56,1
2023-05-08 13:51:11,6147.2,5657,6148.2,1,6149.2,1,6147.620000000001,1
2023-05-08 13:51:11,6147.2,5657,6148.2,1,6149.2,1,6147.679999999999,1
2023-05-08 13:51:13,6147.2,5657,6148.2,1,6149.2,1,6147.74,1
2023-05-08 13:51:14,6147.2,5657,6148.2,1,6149.0,1,6147.8,1
2023-05-08 13:51:15,6147.8,5658,6148.0,1,6149.0,1,6147.8,0
2023-05-08 13:51:15,6147.8,5658,6147.4,2,6149.0,1,6147.8,0
2023-05-08 13:51:16,6147.8,5658,6147.4,2,6149.0,1,6147.8,0
2023-05-08 13:51:16,6147.8,5658,6147.8,1,6149.0,1,6147.8,0
2023-05-08 13:51:17,6147.8,5659,6147.4,2,6149.0,1,6147.800000000001,1
2023-05-08 13:51:20,6147.8,5659,6147.6,2,6149.0,1,6147.8,0
2023-05-08 13:51:20,6147.8,5659,6147.4,2,6149.0,1,6147.8,0
2023-05-08 13:51:21,6147.8,5659,6147.6,1,6149.0,1,6147.8,0
2023-05-08 13:51:23,6147.8,5659,6147.8,2,6149.2,1,6147.8,0
2023-05-08 13:51:24,6147.8,5659,6148.0,1,6149.2,1,6147.8,0
2023-05-08 13:51:24,6147.8,5659,6148.2,1,6149.2,1,6147.8,0
2023-05-08 13:51:25,6147.8,5659,6148.4,1,6149.2,1,6147.8,0
2023-05-08 13:51:25,6147.8,5659,6148.4,1,6150.0,1,6147.800000000001,1
2023-05-08 13:51:26,6147.8,5659,6148.4,1,6149.8,1,6147.8,0
2023-05-08 13:51:28,6147.8,5659,6148.4,1,6149.8,1,6147.8,0
2023-05-08 13:51:29,6147.8,5659,6148.4,1,6150.0,1,6147.8,0
2023-05-08 13:51:29,6147.8,5659,6148.6,2,6151.0,1,6147.8,0
2023-05-08 13:51:30,6147.8,5659,6148.6,2,6150.4,2,6147.8,0
2023-05-08 13:51:31,6147.8,5659,6148.6,2,6150.4,2,6147.8,0
2023-05-08 13:51:31,6147.8,5659,6148.8,1,6150.2,2,6147.9800000000005,1
2023-05-08 13:51:32,6147.8,5659,6148.8,1,6150.2,1,6148.160000000001,1
